ITEM	NUMBER	BINARY	HEXADECIMAL
1	72	1001000	48
2	351	101011111	15F
3	77	1001101	4D
4	469	111010101	1D5
5	148	10010100	94
6	233	11101001	E9
7	232	11101000	E8
8	235	11101011	EB
9	120	1111000	78
10	156	10011100	9C
11	27	11011	1B
12	182	10110110	B6
13	182	10110110	B6
14	159	10011111	9F
15	44	101100	2C
16	162	10100010	A2
17	57	111001	39
18	230	11100110	E6
19	150	10010110	96
20	469	111010101	1D5
21	175	10101111	AF
22	52	110100	34
23	220	11011100	DC
24	272	100010000	110
25	385	110000001	181
26	247	11110111	F7
27	349	101011101	15D
28	197	11000101	C5
29	276	100010100	114
30	13	1101	D
31	205	11001101	CD
32	59	111011	3B
33	44	101100	2C
34	430	110101110	1AE
35	282	100011010	11A
36	308	100110100	134
37	289	100100001	121
38	325	101000101	145
39	81	1010001	51
40	369	101110001	171
41	201	11001001	C9
42	81	1010001	51
43	493	111101101	1ED
44	54	110110	36
45	363	101101011	16B
46	284	100011100	11C
47	132	10000100	84
48	368	101110000	170
49	168	10101000	A8
50	364	101101100	16C
51	332	101001100	14C
52	269	100001101	10D
53	70	1000110	46
54	323	101000011	143
55	435	110110011	1B3
56	424	110101000	1A8
57	489	111101001	1E9
58	230	11100110	E6
59	422	110100110	1A6
60	481	111100001	1E1
61	44	101100	2C
62	57	111001	39
63	413	110011101	19D
64	259	100000011	103
65	176	10110000	B0
66	239	11101111	EF
67	290	100100010	122
68	475	111011011	1DB
69	184	10111000	B8
70	403	110010011	193
71	251	11111011	FB
72	93	1011101	5D
73	346	101011010	15A
74	204	11001100	CC
75	89	1011001	59
76	392	110001000	188
77	268	100001100	10C
78	132	10000100	84
79	144	10010000	90
80	33	100001	21
81	294	100100110	126
82	105	1101001	69
83	350	101011110	15E
84	453	111000101	1C5
85	13	1101	D
86	272	100010000	110
87	440	110111000	1B8
88	341	101010101	155
89	494	111101110	1EE
90	476	111011100	1DC
91	329	101001001	149
92	369	101110001	171
93	239	11101111	EF
94	40	101000	28
95	352	101100000	160
96	123	1111011	7B
97	13	1101	D
98	275	100010011	113
99	446	110111110	1BE
100	307	100110011	133
101	441	110111001	1B9
102	318	100111110	13E
103	252	11111100	FC
104	126	1111110	7E
105	486	111100110	1E6
106	184	10111000	B8
107	175	10101111	AF
108	39	100111	27
109	249	11111001	F9
110	198	11000110	C6
111	309	100110101	135
112	330	101001010	14A
113	250	11111010	FA
114	427	110101011	1AB
115	5	101	5
116	195	11000011	C3
117	247	11110111	F7
118	93	1011101	5D
119	141	10001101	8D
120	182	10110110	B6
121	48	110000	30
122	98	1100010	62
123	492	111101100	1EC
124	388	110000100	184
125	496	111110000	1F0
126	451	111000011	1C3
127	106	1101010	6A
128	197	11000101	C5
129	94	1011110	5E
130	157	10011101	9D
131	217	11011001	D9
132	308	100110100	134
133	221	11011101	DD
134	475	111011011	1DB
135	67	1000011	43
136	252	11111100	FC
137	430	110101110	1AE
138	80	1010000	50
139	380	101111100	17C
140	387	110000011	183
141	362	101101010	16A
142	427	110101011	1AB
143	328	101001000	148
144	87	1010111	57
145	246	11110110	F6
146	232	11101000	E8
147	121	1111001	79
148	280	100011000	118
149	216	11011000	D8
150	421	110100101	1A5
151	342	101010110	156
152	475	111011011	1DB
153	455	111000111	1C7
154	348	101011100	15C
155	130	10000010	82
156	403	110010011	193
157	39	100111	27
158	65	1000001	41
159	142	10001110	8E
160	45	101101	2D
161	176	10110000	B0
162	173	10101101	AD
163	498	111110010	1F2
164	282	100011010	11A
165	226	11100010	E2
166	133	10000101	85
167	42	101010	2A
168	385	110000001	181
169	462	111001110	1CE
170	363	101101011	16B
171	269	100001101	10D
172	343	101010111	157
173	440	110111000	1B8
174	362	101101010	16A
175	335	101001111	14F
176	289	100100001	121
177	433	110110001	1B1
178	434	110110010	1B2
179	437	110110101	1B5
180	439	110110111	1B7
181	116	1110100	74
182	275	100010011	113
183	95	1011111	5F
184	10	1010	A
185	472	111011000	1D8
186	399	110001111	18F
187	136	10001000	88
188	405	110010101	195
189	378	101111010	17A
190	419	110100011	1A3
191	357	101100101	165
192	472	111011000	1D8
193	230	11100110	E6
194	370	101110010	172
195	162	10100010	A2
196	267	100001011	10B
197	377	101111001	179
198	213	11010101	D5
199	163	10100011	A3
200	263	100000111	107
201	496	111110000	1F0
202	55	110111	37
203	183	10110111	B7
204	22	10110	16
205	70	1000110	46
206	272	100010000	110
207	79	1001111	4F
208	446	110111110	1BE
209	359	101100111	167
210	44	101100	2C
211	397	110001101	18D
212	300	100101100	12C
213	261	100000101	105
214	103	1100111	67
215	196	11000100	C4
216	211	11010011	D3
217	383	101111111	17F
218	399	110001111	18F
219	294	100100110	126
220	79	1001111	4F
221	477	111011101	1DD
222	419	110100011	1A3
223	417	110100001	1A1
224	194	11000010	C2
225	471	111010111	1D7
226	47	101111	2F
227	141	10001101	8D
228	237	11101101	ED
229	138	10001010	8A
230	127	1111111	7F
231	35	100011	23
232	188	10111100	BC
233	398	110001110	18E
234	98	1100010	62
235	411	110011011	19B
236	371	101110011	173
237	158	10011110	9E
238	206	11001110	CE
239	204	11001100	CC
240	425	110101001	1A9
241	318	100111110	13E
242	229	11100101	E5
243	486	111100110	1E6
244	212	11010100	D4
245	147	10010011	93
246	232	11101000	E8
247	463	111001111	1CF
248	432	110110000	1B0
249	261	100000101	105
250	13	1101	D
251	433	110110001	1B1
252	23	10111	17
253	230	11100110	E6
254	64	1000000	40
255	436	110110100	1B4
256	391	110000111	187
257	122	1111010	7A
258	144	10010000	90
259	483	111100011	1E3
260	363	101101011	16B
261	238	11101110	EE
262	27	11011	1B
263	478	111011110	1DE
264	194	11000010	C2
265	146	10010010	92
266	306	100110010	132
267	329	101001001	149
268	24	11000	18
269	273	100010001	111
270	325	101000101	145
271	244	11110100	F4
272	74	1001010	4A
273	333	101001101	14D
274	453	111000101	1C5
275	405	110010101	195
276	103	1100111	67
277	226	11100010	E2
278	307	100110011	133
279	231	11100111	E7
280	295	100100111	127
281	297	100101001	129
282	369	101110001	171
283	70	1000110	46
284	469	111010101	1D5
285	80	1010000	50
286	129	10000001	81
287	361	101101001	169
288	71	1000111	47
289	328	101001000	148
290	44	101100	2C
291	461	111001101	1CD
292	140	10001100	8C
293	331	101001011	14B
294	89	1011001	59
295	293	100100101	125
296	435	110110011	1B3
297	117	1110101	75
298	443	110111011	1BB
299	303	100101111	12F
300	201	11001001	C9
301	100	1100100	64
302	161	10100001	A1
303	445	110111101	1BD
304	493	111101101	1ED
305	218	11011010	DA
306	223	11011111	DF
307	292	100100100	124
308	111	1101111	6F
309	81	1010001	51
310	318	100111110	13E
311	303	100101111	12F
312	17	10001	11
313	44	101100	2C
314	350	101011110	15E
315	466	111010010	1D2
316	82	1010010	52
317	351	101011111	15F
318	313	100111001	139
319	135	10000111	87
320	183	10110111	B7
321	185	10111001	B9
322	90	1011010	5A
323	364	101101100	16C
324	418	110100010	1A2
325	261	100000101	105
326	348	101011100	15C
327	435	110110011	1B3
328	481	111100001	1E1
329	424	110101000	1A8
330	359	101100111	167
331	36	100100	24
332	428	110101100	1AC
333	177	10110001	B1
334	486	111100110	1E6
335	57	111001	39
