Word	Frequency
0	18
1	27
10	22
100	23
101	27
102	31
103	26
104	22
105	26
106	26
107	27
108	23
109	25
11	22
110	18
111	16
112	26
113	27
114	31
115	16
116	28
117	25
118	37
119	17
12	38
120	19
121	22
122	27
123	30
124	28
125	21
126	29
127	30
128	28
129	26
13	25
130	19
131	30
132	28
133	36
134	23
135	24
136	31
137	24
138	18
139	21
14	20
140	24
141	24
142	24
143	21
144	28
145	25
146	21
147	30
148	24
149	26
15	26
150	23
151	29
152	24
153	20
154	31
155	27
156	32
157	31
158	20
159	27
16	24
160	30
161	27
162	24
163	25
164	28
165	17
166	25
167	23
168	27
169	28
17	24
170	34
171	35
172	22
173	29
174	28
175	28
176	27
177	21
178	15
179	28
18	24
180	23
181	26
182	20
183	21
184	35
185	28
186	19
187	27
188	28
189	28
19	18
190	31
191	23
192	26
193	17
194	20
195	19
196	30
197	36
198	24
199	28
2	15
20	25
200	18
201	28
202	28
203	13
204	34
205	24
206	26
207	27
208	28
209	28
21	29
210	28
211	33
212	20
213	28
214	20
215	18
216	22
217	23
218	29
219	19
22	27
220	22
221	26
222	24
223	17
224	23
225	29
226	28
227	23
228	36
229	25
23	30
230	22
231	28
232	25
233	18
234	32
235	29
236	18
237	18
238	27
239	20
24	20
240	18
241	21
242	18
243	24
244	22
245	24
246	29
247	28
248	24
249	28
25	24
250	19
251	17
252	18
253	23
254	29
255	26
256	26
257	23
258	19
259	28
26	34
260	28
261	18
262	24
263	24
264	27
265	24
266	31
267	28
268	25
269	27
27	31
270	27
271	26
272	28
273	31
274	25
275	21
276	25
277	16
278	20
279	28
28	18
280	32
281	24
282	19
283	20
284	26
285	27
286	30
287	36
288	20
289	30
29	31
290	16
291	28
292	22
293	21
294	25
295	22
296	28
297	24
298	22
299	26
3	22
30	23
300	22
301	32
302	24
303	34
304	26
305	27
306	31
307	26
308	22
309	25
31	23
310	22
311	25
312	27
313	27
314	29
315	21
316	17
317	25
318	28
319	25
32	32
320	24
321	19
322	25
323	25
324	31
325	32
326	27
327	19
328	22
329	25
33	20
330	21
331	21
332	34
333	15
334	27
335	30
336	15
337	32
338	28
339	28
34	25
340	15
341	32
342	20
343	28
344	19
345	26
346	20
347	24
348	29
349	26
35	18
350	23
351	25
352	27
353	23
354	29
355	23
356	24
357	29
358	27
359	29
36	32
360	30
361	36
362	20
363	20
364	22
365	22
366	17
367	27
368	24
369	34
37	32
370	19
371	20
372	34
373	16
374	21
375	17
376	22
377	24
378	29
379	20
38	32
380	32
381	26
382	27
383	24
384	18
385	29
386	30
387	28
388	25
389	20
39	23
390	32
391	30
392	23
393	17
394	25
395	33
396	23
397	27
398	19
399	24
4	25
40	31
400	22
401	28
402	28
403	23
404	19
405	22
406	23
407	30
408	20
409	23
41	26
410	28
411	29
412	21
413	20
414	31
415	21
416	28
417	29
418	25
419	31
42	25
420	25
421	19
422	22
423	24
424	15
425	23
426	36
427	26
428	28
429	32
43	20
430	15
431	25
432	26
433	26
434	26
435	15
436	34
437	25
438	24
439	20
44	26
440	19
441	24
442	24
443	29
444	30
445	22
446	28
447	21
448	32
449	31
45	25
450	21
451	28
452	29
453	24
454	23
455	25
456	25
457	23
458	33
459	30
46	26
460	26
461	29
462	29
463	27
464	23
465	31
466	29
467	24
468	28
469	19
47	33
470	18
471	27
472	25
473	28
474	34
475	27
476	25
477	30
478	22
479	23
48	25
480	27
481	25
482	23
483	26
484	28
485	32
486	19
487	22
488	27
489	31
49	32
490	31
491	30
492	26
493	33
494	25
495	31
496	14
497	27
498	19
499	23
5	34
50	24
500	24
51	19
52	26
53	25
54	30
55	23
56	30
57	19
58	23
59	22
6	24
60	27
61	28
62	23
63	37
64	24
65	25
66	34
67	22
68	23
69	31
7	25
70	29
71	26
72	27
73	35
74	19
75	19
76	26
77	27
78	23
79	18
8	26
80	27
81	31
82	31
83	32
84	33
85	23
86	26
87	21
88	26
89	21
9	20
90	16
91	18
92	24
93	21
94	40
95	20
96	24
97	28
98	22
99	24
Time elapsed: 0.0261 seconds
